id,response_number,response,prob,logprob
1,1,"

def solve(cost, m, n):
    # initialize dp matrix with 0s
    dp = [[0 for i in range(n+1)] for j in range(m+1)]
    
    # fill first row and column with cumulative costs
    for i in range(1, m+1):
        dp[i][0] = dp[i-1][0] + cost[i][0]
    for j in range(1, n+1):
        dp[0][j] = dp[0][j-1] + cost[0][j]
    
    # fill rest of dp matrix with minimum cost path to reach each position
    for i in range(1, m+1):
        for j in range(1, n+1):
            dp[i][j] = min(dp[i-1][j], dp[i][j-1]) + cost[i][j]
    
    # return minimum cost to reach (m, n)
    return dp[m][n]",0.8891,-24.44677858686249
1,2,"

def solve(cost, m, n):

    # initialize a 2D array to store the minimum cost path
    path = [[0 for i in range(n+1)] for j in range(m+1)]

    # base case for starting position (0,0)
    path[0][0] = cost[0][0]

    # fill the first row
    for j in range(1, n+1):
        path[0][j] = path[0][j-1] + cost[0][j]

    # fill the first column
    for i in range(1, m+1):
        path[i][0] = path[i-1][0] + cost[i][0]

    # fill the rest of the path
    for i in range(1, m+1):
        for j in range(1, n+1):
            path[i][j] = min(path[i-1][j], path[i][j-1]) + cost[i][j]

    # return the minimum cost path to reach (m,n)
    return path[m][n]",0.8831,-28.959369030400204
1,3,"

def solve(cost, m, n):
    # initialize a 2d array to store the minimum cost path
    dp = [[0 for i in range(n+1)] for j in range(m+1)]
    
    # fill the first row and column of the dp array with cumulative sum
    for i in range(1, m+1):
        dp[i][0] = dp[i-1][0] + cost[i][0]
    for j in range(1, n+1):
        dp[0][j] = dp[0][j-1] + cost[0][j]
    
    # fill the rest of the dp array by finding the minimum cost path
    for i in range(1, m+1):
        for j in range(1, n+1):
            dp[i][j] = cost[i][j] + min(dp[i-1][j], dp[i][j-1])
    
    # return the minimum cost path to reach (m, n)
    return dp[m][n]",0.887,-26.36789477551819
1,4,"

def solve(cost, m, n):
    # Initialize a 2D array to store the minimum cost to reach each position
    min_cost = [[0 for i in range(n+1)] for j in range(m+1)]
    
    # Initialize the first row and column with the cumulative sum of the cost matrix
    for i in range(1, m+1):
        min_cost[i][0] = min_cost[i-1][0] + cost[i][0]
    for j in range(1, n+1):
        min_cost[0][j] = min_cost[0][j-1] + cost[0][j]
        
    # Fill in the rest of the 2D array using dynamic programming
    for i in range(1, m+1):
        for j in range(1, n+1):
            min_cost[i][j] = min(min_cost[i-1][j], min_cost[i][j-1]) + cost[i][j]
            
    # Return the minimum cost to reach the given position
    return min_cost[m][n]",0.8852,-28.165568235551596
1,5,"

def solve(cost, m, n):
    # Initialize a 2D array to store the minimum cost at each position
    min_cost = [[0 for i in range(n+1)] for j in range(m+1)]
    
    # Fill the first row and column of the min_cost array with cumulative sum of cost array
    min_cost[0][0] = cost[0][0]
    for i in range(1, m+1):
        min_cost[i][0] = min_cost[i-1][0] + cost[i][0]
    for j in range(1, n+1):
        min_cost[0][j] = min_cost[0][j-1] + cost[0][j]
        
    # Fill the rest of the min_cost array by choosing the minimum cost from the top and left positions
    for i in range(1, m+1):
        for j in range(1, n+1):
            min_cost[i][j] = min(min_cost[i-1][j], min_cost[i][j-1]) + cost[i][j]
            
    # Return the minimum cost at the given position (m, n)
    return min_cost[m][n]",0.8949,-28.544754767224703
2,1,"

def solve(tup1, tup2):
    result = []
    for i in range(len(tup1)):
        for j in range(len(tup2)):
            if tup1[i] == tup2[j]:
                result.append(tup1[i])
    return tuple(result)",0.8239,-11.237482755779402
2,2,"

def solve(list1, list2):
    result = []
    for tup1 in list1:
        for tup2 in list2:
            if tup1 == tup2:
                result.append(tup1)
                break
    return result",0.8839,-6.168167914049602
2,3,"

def solve(tuple_list1, tuple_list2):
    common_elements = []
    for tuple1 in tuple_list1:
        for tuple2 in tuple_list2:
            if tuple1 == tuple2:
                common_elements.append(tuple1)
    return common_elements",0.8907,-6.133095380203
2,4,"

def solve(list1, list2):
    similar = []
    for elem1 in list1:
        if elem1 in list2:
            similar.append(elem1)
    return similar",0.8144,-7.800271179089001
2,5,"

def solve(list1, list2):
    result = []
    for i in list1:
        if i in list2:
            result.append(i)
    return result",0.8668,-5.004738675891
3,1,"

def solve(n):
    if n < 2:
        return False
    else:
        for i in range(2, n):
            if n % i == 0:
                return True
        return False",0.8568,-6.954011518946702
3,2,"

def solve(n):
    if n > 1:
        for i in range(2, n):
            if n % i == 0:
                return True
        else:
            return False
    else:
        return False",0.8096,-10.1397358052527
3,3,"

def solve(num):
    if num < 2:
        return True
    for i in range(2,num):
        if num % i == 0:
            return True
    return False",0.8723,-5.6007135290160015
3,4,"

def solve(num):
  if num < 2:
    return True
  for i in range(2, num):
    if num % i == 0:
      return True
  return False",0.8534,-6.657545403423998
3,5,"

def solve(n):
    if n < 2:
        return False
    for i in range(2, n):
        if n % i == 0:
            return True
    return False",0.9323,-2.9433007241633
4,1,"

import heapq

def solve(nums):
    heapq.heapify(nums)
    largest = heapq.nlargest(3, nums)
    return largest",0.8358,-5.203021403662
4,2,"

def solve(nums):
    import heapq
    heap = []
    for num in nums:
        heapq.heappush(heap, -num)
    
    largest = []
    for _ in range(len(nums)):
        largest.append(-heapq.heappop(heap))
    
    return largest",0.8553,-8.909833553816899
4,3,"

def solve(nums):
    heap = []
    for num in nums:
        heapq.heappush(heap, num)
    return heapq.nlargest(3, heap)",0.8152,-7.150479722948799
4,4,"

import heapq

def solve(nums):
    heapq.heapify(nums)
    largest = heapq.nlargest(3, nums)
    return largest",0.8358,-5.203021403662
4,5,"

def solve(lst):
  import heapq
  heap = []
  for num in lst:
    heapq.heappush(heap, -num)
  largest = []
  for i in range(len(lst)):
    largest.append(-heapq.heappop(heap))
  return largest",0.835,-9.920958183263602
5,1,"

def solve(n):
    if n == 1:
        return 1
    if n == 2:
        return 2
    if n == 3:
        return 3
    dp = [0] * (n + 1)
    dp[1] = 1
    dp[2] = 2
    dp[3] = 3
    for i in range(4, n + 1):
        dp[i] = dp[i - 1] + dp[i - 2]
    return dp[n]",0.9463,-6.463513978349001
5,2,"

def solve(n):
    if n <= 0:
        return 0
    elif n == 1:
        return 1
    else:
        return solve(n-1) + solve(n-2)",0.8645,-6.551303740217998
5,3,"

def solve(n):
    if n == 0:
        return 1
    elif n == 1:
        return 0
    elif n == 2:
        return 3
    else:
        return solve(n-2)*3 + sum([solve(n-x) for x in range(4, n+1, 2)])",0.8061,-15.736509132387
5,4,"

def solve(n):
    if n == 1:
        return 1
    if n == 2:
        return 2
    dp = [0 for i in range(n+1)]
    dp[1] = 1
    dp[2] = 2
    for i in range(3, n+1):
        dp[i] = dp[i-1] + dp[i-2]
    return dp[n]",0.9243,-7.320600199556001
5,5,"

def solve(n):
    if n < 3:
        return 0
    if n == 3:
        return 2
    dp = [0] * (n + 1)
    dp[0] = 0
    dp[1] = 0
    dp[2] = 3
    dp[3] = 2
    for i in range(4, n + 1):
        dp[i] = dp[i - 2] * 2 + dp[i - 3] * 2
    return dp[n]",0.8677,-17.164251321841007
6,1,"

def solve(num1, num2):
    # Convert the numbers to binary strings
    bin1 = bin(num1)[2:]
    bin2 = bin(num2)[2:]

    # Pad the shorter string with leading zeros
    if len(bin1) < len(bin2):
        bin1 = '0' * (len(bin2) - len(bin1)) + bin1
    elif len(bin2) < len(bin1):
        bin2 = '0' * (len(bin1) - len(bin2)) + bin2
    
    # Compare the two strings character by character
    diff_count = 0
    for i in range(len(bin1)):
        if bin1[i] != bin2[i]:
            diff_count += 1
    
    # Return True if there is only one difference, False otherwise
    return diff_count == 1",0.864,-26.156451649881504
6,2,"

def solve(num1, num2):
    xor = num1 ^ num2
    if xor & (xor - 1) == 0:
        return True
    else:
        return False",0.8795,-5.394458610725499
6,3,"

def solve(num1, num2):
    diff = num1 ^ num2
    return diff & (diff - 1) == 0",0.8505,-5.019370887449499
6,4,"

def solve(x,y):
    xor = x ^ y
    count = 0
    while xor > 0:
        if xor & 1:
            count += 1
        xor = xor >> 1
    if count == 1:
        return True
    else:
        return False",0.8353,-11.517592814655998
6,5,"

def solve(num1, num2):
    diff = num1 ^ num2
    count = 0
    while diff > 0:
        if diff & 1:
            count += 1
        diff = diff >> 1
    if count == 1:
        return True
    else:
        return False",0.8875,-8.235476738812501
7,1,"

import re

def solve(string):
    pattern = r'\b\w{4,}\b'
    matches = re.findall(pattern, string)
    return matches",0.9122,-3.122931776531999
7,2,"

def solve(string):
    pattern = r'\b\w{4,}\b'
    matches = re.findall(pattern, string)
    return matches",0.8736,-4.190289738622599
7,3,"

import re

def solve(string):
    pattern = r'\b\w{4,}\b'
    match = re.findall(pattern, string)
    return match",0.8334,-6.195659854406999
7,4,"

import re

def solve(string):
    return re.findall(r""[a-zA-Z]{4,}"", string)",0.7249,-7.399281707454999
7,5,"

import re 

def solve(string):
    pattern = r'\b\w{4,}\b'
    return re.findall(pattern, string)",0.772,-7.763349018444299
8,1,"

def solve(lst):
    return list(map(lambda x: x**2, lst))",0.9686,-0.5740861174330001
8,2,"

def solve(nums):
    return list(map(lambda x: x**2, nums))",0.8597,-2.7208684421069997
8,3,"

def solve(lst):
    squares = list(map(lambda x: x**2, lst))
    return squares",0.8463,-3.672473636611
8,4,"

def solve(lst):
    return list(map(lambda x: x**2, lst))",0.9686,-0.5740861174330001
8,5,"

def solve(lst):
    return list(map(lambda x: x**2, lst))",0.9686,-0.5740861174330001
9,1,"

def solve(string):
    if len(string) <= 1:
        return 0
    else:
        min_rotations = float('inf')
        for i in range(len(string)):
            rotated_string = string[i:] + string[:i]
            if rotated_string == string:
                min_rotations = min(min_rotations, i)
        return min_rotations",0.8485,-12.322618595329995
9,2,"

def solve(s):
    n = len(s)
    min_rotations = float('inf')
    for i in range(n):
        rotated = s[i:] + s[:i]
        if rotated == s:
            min_rotations = min(min_rotations, i)
    return min_rotations",0.8712,-8.413667931970997
9,3,"

def solve(string):
    n = len(string)
    rotations = 0
    for i in range(n):
        rotated_string = string[i:] + string[:i]
        if rotated_string == string:
            rotations = i
            break
    return rotations",0.8571,-8.329039048300004
9,4,"

def solve(string):
    if len(string) <= 1:
        return 0
    rotations = 0
    for i in range(1, len(string)):
        rotated = string[i:] + string[:i]
        if rotated == string:
            rotations = i
            break
    return rotations",0.8156,-13.046797793651002
9,5,"


def solve(s):
    rotated = s+s
    n = len(s)
    for i in range(n):
        new = rotated[i:i+n]
        if new == s:
            return i
    return -1",0.5651,-26.256339427996004
10,1,"

def solve(dataset, n):
    sorted_dataset = sorted(dataset)
    return sorted_dataset[:n]",0.9214,-1.7187074073089998
10,2,"

def solve(dataset, n):
    return sorted(dataset)[:n]",0.916,-1.228658628504
10,3,"

def solve(dataset, n):
    return sorted(dataset)[:n]",0.916,-1.228658628504
10,4,"

def solve(dataset, n):
    return sorted(dataset)[:n]",0.916,-1.228658628504
10,5,"

def solve(dataset, n):
    return sorted(dataset)[:n]",0.916,-1.228658628504
11,1,"

def solve(string, char):
  index = string.find(char)
  last_index = string.rfind(char)
  if index != -1 and last_index != -1:
    string = string[:index] + string[index+1:last_index] + string[last_index+1:]
  return string",0.8126,-12.658488531806
11,2,"

def solve(string, char):
    first_index = string.find(char)
    last_index = string.rfind(char)
    if first_index != -1 and last_index != -1:
        new_string = string[:first_index] + string[first_index+1:last_index] + string[last_index+1:]
    else:
        new_string = string
    return new_string",0.9002,-7.988283544945601
